Term,Definition
Tachycardia,Abnormally fast heart rate
Bradycardia,Abnormally slow heart rate
Dyspnea,Difficulty breathing
Edema,Swelling caused by fluid buildup
Ischemia,Reduced blood flow to tissues
Hypertension,High blood pressure
Hypotension,Low blood pressure
Analgesic,Pain-relieving medication
Antipyretic,Fever-reducing medication
Alveoli,Tiny air sacs in the lungs where gas exchange occurs
Nephron,The functional unit of the kidney
Cerebellum,Brain region responsible for balance and coordination
Myocardium,Muscular layer of the heart wall
Retina,Light-sensitive layer at the back of the eye
Humerus,Upper arm bone
Trachea,Windpipe that carries air to the lungs
Homeostasis,The body's ability to maintain stable internal conditions
Osmosis,Movement of water across a semipermeable membrane
Action potential,Electrical signal transmitted along a neuron
Respiration,Process of gas exchange in the body
Peristalsis,Wave-like muscle contractions that move food through the digestive tract
Filtration,First step of urine formation in the kidneys
Metabolism,All chemical reactions occurring in the body
Hormone,Chemical messenger released by endocrine glands
Diffusion,Movement of molecules from high to low concentration
Cerebrovascular accident,Stroke caused by interrupted blood flow to the brain
Pneumonia,Infection causing inflammation of the lungs
Diabetes mellitus,Chronic condition involving high blood sugar
Anemia,Low red blood cell count or hemoglobin
Sepsis,Life-threatening response to infection
Osteoporosis,Weakening of bones due to low bone density
Asthma,Chronic airway inflammation causing breathing difficulty
Arthritis,Inflammation of joints
Cancer,Uncontrolled growth of abnormal cells
Ibuprofen,NSAID used to reduce pain and inflammation
Acetaminophen,Pain reliever and fever reducer
Amoxicillin,Common antibiotic used to treat bacterial infections
Insulin,Hormone used to lower blood glucose levels
Atorvastatin,Medication used to lower cholesterol
Metformin,Drug used to treat type 2 diabetes
Omeprazole,Medication that reduces stomach acid
Albuterol,Bronchodilator used for asthma attacks
Vital signs,Measurements of temperature pulse respiration and blood pressure
Aseptic technique,Practices that reduce risk of infection
Triage,Prioritizing patients based on severity of condition
Informed consent,Permission given after understanding risks and benefits
ADLs,Daily self-care activities like bathing and eating
PPE,Equipment used to protect against infection
Range of motion,Exercises that move joints through their full movement
Fall risk,Likelihood of a patient falling and being injured
Wound care,Cleaning and dressing wounds to promote healing
